product_id,name,category,price
b9f99893-e99c-4bd2-954f-59a7910ca239,Owner,Electronics,17.38
c69164e0-8dc1-4221-9eb5-5204fabba4ee,Politics,Home,126.22
5d54fc3f-4641-471b-a08f-507cdb56c60b,Material,Clothing,369.55
b8dd0f54-7dfb-4a0d-b5a0-5d7f6d076734,Always,Toys,48.03
0376989f-4e5d-4f5c-bc2d-a7f7ea690c47,Consider,Books,20.73
5d1def6b-76ff-4ac1-ba00-db4b243e53ca,Fact,Electronics,113.23
0d97a562-447c-4b32-80b5-6b2f396ab623,Interesting,Toys,303.0
46768531-c6fc-44b6-871e-6db4091af865,Charge,Toys,103.42
c582eb3b-eb04-4d34-880f-5775b7fac451,Present,Toys,212.66
2cc27755-6660-4ddd-933e-bed58c727325,Politics,Books,296.69
7b93b71c-e66f-42ad-a574-c903c9c0f4c1,Responsibility,Electronics,380.61
4a2bbf1e-7935-4b16-b7d1-ae26564350e3,Rule,Clothing,350.58
80aeba0c-2cb5-4dff-9908-c2f8197e31bf,Interest,Home,142.55
704f1dbf-a4ab-4ae5-8790-81998958fb8b,American,Clothing,478.82
4a1cbc1c-e2a4-4301-a68b-cf8e499af139,Individual,Home,55.59
317b5d95-7f12-4e38-a0b1-b84280b2f657,Visit,Books,52.87
ebb7c5b4-388a-4012-9825-085e3bd81f61,Until,Home,303.84
8e1c797e-0d32-4d1e-bc49-93ff9a98b9cf,Glass,Electronics,366.22
6dfa2cc2-dae1-4cd6-bbbd-38e08506e24c,Rock,Toys,66.79
3dcba0c9-cd0e-418c-a530-6532aeec12c5,Economy,Books,44.01
3886dc0a-d59f-41bd-8c69-bce19d93e9ce,Appear,Home,415.56
c2b2e471-3397-4b76-b7dc-019232d1177c,Skill,Toys,443.3
3f531053-bb5b-4dde-986b-3bb529cc2acd,May,Home,290.79
4593fe5b-25df-4c37-a571-079989fbf34a,Wife,Electronics,27.68
f3ddfce9-2e78-4c37-8992-4bae7054fe8d,Exist,Clothing,387.67
34555522-61fe-4607-8d93-facbc347c560,Watch,Electronics,428.38
25a54c46-b515-44c7-96a1-50449334be09,Hotel,Electronics,193.16
7aea3ec3-8686-4dc8-b3e0-76038406acfc,Again,Books,319.66
26dec737-99f7-4331-8d61-1f54a16b4efa,Green,Home,85.51
be0ff283-43f2-45b2-87ae-cdaea4c32e0f,Television,Home,108.71
ed96866b-b3a2-4a40-be54-823133d4de8d,Student,Home,352.4
8040b2ad-0d66-49e2-b5a4-53d33346bd0b,Floor,Electronics,306.52
eabeb5dc-056a-4718-9db8-716ca960406a,Foreign,Clothing,269.4
e067c40d-bb99-4db5-a966-a114667136ce,Fast,Clothing,85.88
7a8724c5-8dca-43ea-af2d-418deead1ff5,Threat,Books,138.62
7da8e606-3dd2-4b69-817a-8890b2b27cb7,Million,Toys,113.71
691f32fe-a07a-4815-95d3-28290296bbc1,Toward,Home,422.21
a6344ba7-f655-4e43-b9e9-20c0dc4870ee,Safe,Electronics,118.38
ec49d191-448c-4df4-9547-62a3ad4553eb,Reveal,Electronics,403.5
26e118a9-a752-4ac4-8345-a266faa972ce,Billion,Books,137.53
510b3cab-3715-4d44-9c9a-8b195849bb3e,Trouble,Clothing,457.0
dbfc454e-73cd-417e-9d94-ba7ffaaeae8d,Drive,Toys,438.8
14567267-4dc6-4bef-b183-39f7a32c2898,Center,Home,110.25
f2b93a78-58e9-447e-8544-f877a5817e2b,First,Books,200.84
bfa30111-185a-4087-8a4c-7771ba8a6df6,Six,Books,75.72
65a76fcb-d801-4bb4-8cd4-9b98fd182c1a,Level,Clothing,127.08
4e9b21e5-f282-4fd0-8e66-9a38b1bb009d,Staff,Toys,271.79
365eed28-ccce-497a-ac81-a3e314104024,That,Toys,217.07
0e09d925-389d-4a79-b111-34cff0fa192d,Full,Toys,202.7
07374f20-cf36-41ad-aba0-b5ba76ada0c2,Exist,Clothing,498.68
1157498f-245b-4127-b54f-5c55464d512b,Shoulder,Clothing,257.22
269f2ad8-0856-4cbc-9b5b-dbf155512965,Keep,Electronics,379.11
b710255c-9719-4235-a223-e707557e19e6,Point,Electronics,80.66
a3c9b96d-acdf-4825-b5d1-8228e700d6a6,Race,Clothing,397.08
3f9fd4a3-cb23-4529-a3bc-528535435e78,Behind,Books,300.22
40d24584-0604-49f5-8da2-d8e8b38390f2,Cup,Books,193.9
fbda33e1-e00e-49a4-936b-d608ce1113c1,Letter,Books,266.91
b57c2f96-bbd7-4ef8-b4ef-28b2bde44b10,Development,Toys,431.09
e769d418-7d03-428c-b9a9-0b7be3abb8b7,White,Electronics,341.74
f6fb55a9-92ca-4726-917c-3f244c1de694,Than,Electronics,342.45
a2c3672b-eadc-4137-b29c-6be09a42cdf0,Investment,Toys,376.68
8c9633c2-2ab0-49df-9706-5f9a6786366e,Sit,Home,60.22
1d8fbf82-5ece-4abd-9f62-7eb9e13fd9eb,Memory,Books,83.29
196f6154-277e-459f-8bf1-bbf1f6d4dee6,Song,Electronics,477.14
ff97f3c9-d369-4540-9505-7c014fd90074,Name,Home,486.08
a0216ac4-1abd-4f53-8d35-dbfd1c06e9c4,Trip,Clothing,256.3
0ce510f3-7ea3-43e2-925e-24118dea5ba7,Hour,Electronics,435.91
9f21d9fe-37b5-42c1-949d-ba339d2bb1d4,Tend,Home,421.63
00ca3004-a7ca-4016-9a54-297e3bdd18c4,Arrive,Toys,306.44
3f2e9b3d-e4b1-46fe-b205-761d17548602,Myself,Clothing,190.09
0b88e851-b865-4190-9195-026eab6f8731,Strong,Clothing,271.99
e613c6a3-de92-474c-b537-a000d6905b84,Cold,Toys,459.65
fa2019a0-e70c-44a0-949a-f327aaa167e3,Attorney,Toys,165.46
8074084c-53e4-4788-a74b-096314bf76dd,Foreign,Electronics,60.37
578a8b7d-39c5-4c3b-b780-e6119bfb9976,Security,Home,439.97
422f2f1e-cf81-4c92-b24e-e54fc0ede420,Move,Home,123.53
225609a0-0fbb-4e77-9d58-ed3e690b731d,International,Clothing,439.61
9f6f8884-a072-4608-b61a-7c52607dc8aa,Central,Electronics,47.4
e212286f-4991-48cc-8399-dc53d103d47a,Statement,Books,408.93
4ab88466-ae24-4ba1-a5af-6e2db06a9b8a,Today,Toys,384.09
a11d9577-0c29-4401-bb5a-ce86ebaef2ac,Need,Clothing,331.58
1f7befc0-aa6c-4e47-b10b-144665fa32bd,Until,Toys,86.74
94a62082-3bc8-4beb-bc73-daf875eab45b,Outside,Toys,436.85
2c067203-a671-4310-9ed7-edbb46727d81,Air,Books,482.36
13110f93-d3c0-4dcd-ad23-d60b9c03f6ff,Consumer,Toys,378.86
32d8608a-99bc-40d3-917b-59c7fe4e5920,Data,Clothing,357.91
6a6d61cd-d637-42e3-bbc8-dabd2c18a3dd,Type,Books,497.6
d271bb26-d09e-40ec-8fc6-f0da1a85d0d5,There,Home,221.86
3c97b764-f644-4d45-8a2f-23a01daa9b7f,Deep,Toys,228.49
a5aeb4ac-9f46-4990-a318-cf06358fa336,Third,Clothing,116.23
2e31542e-fda3-40dd-bce4-4dfc836f8c94,Article,Home,15.41
aa343df8-5577-4e00-9066-557d0b1526b8,Enjoy,Toys,118.91
05d25cdf-aeba-4d82-b05b-6275122a820a,Alone,Clothing,8.56
e05c514b-32b3-4911-8cbe-726da6eb821d,Loss,Electronics,118.33
29211965-577a-4299-a222-13601fc647ae,Apply,Electronics,430.52
97feac70-157d-47bb-a705-4e08d72a0b6b,Why,Electronics,259.51
841dc74a-fada-4b3b-91b8-adc8665c848f,Herself,Home,336.14
4c61804e-0239-4d19-87c9-d10fbc017537,Sea,Clothing,271.92
76207a7e-43ac-47b2-859a-f5e2a325e44b,Decide,Toys,290.22
f115d6b1-2076-4cb5-927e-710e1ef8b5ef,Eye,Clothing,393.39
